2016-10-27 10:29:36.3237 INFO 正常 - job1接口调用开始！
2016-10-27 10:47:59.1388 INFO 正常 - job1接口调用开始！
2016-10-27 10:48:34.1398 INFO 正常 - 未日审邮件发送成功
2016-10-27 13:47:45.4165 INFO 正常 - job1接口调用开始！
2016-10-27 13:48:39.2216 INFO 正常 - job1接口调用开始！
2016-10-27 17:03:09.3617 INFO 正常 - job1接口调用开始！
2016-10-27 17:03:20.4483 INFO 正常 - 获取文件目录成功
2016-10-27 17:03:21.0644 INFO 正常 - D:\WorkFiles\AMS\Codes\WindowsService\trunk\DJS_Service\ServiceTest\bin\Debug\JobFiles\job1\Temp_DaylReportSum.xlsx
2016-10-27 17:03:49.5470 INFO 正常 - 门店上海宝山盘古路店开始写入日报表
2016-10-27 17:04:07.0200 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表数据开始写入
2016-10-27 17:04:07.0300 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表模板第4列数据写入类型1数量0.00
2016-10-27 17:04:07.0510 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表模板第4列数据写入类型2数量610.00
2016-10-27 17:04:07.0570 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表模板第4列数据写入类型3数量0.00
2016-10-27 17:04:07.0570 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表模板第4列数据写入类型4数量300.00
2016-10-27 17:04:07.0810 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表模板第4列数据写入类型5数量0.00
2016-10-27 17:04:07.0890 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表模板第4列数据写入类型6数量0.00
2016-10-27 17:04:07.0890 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表模板第4列数据写入类型7数量0.00
2016-10-27 17:04:07.1070 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表模板第4列数据写入类型8数量0.00
2016-10-27 17:04:07.1070 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表模板第4列数据写入类型9数量0.00
2016-10-27 17:04:07.1210 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表模板第4列数据写入类型10数量0.00
2016-10-27 17:04:07.1210 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表模板第4列数据写入类型11数量900.00
2016-10-27 17:04:07.1370 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表模板第4列数据写入类型30数量0.00
2016-10-27 17:04:07.1370 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表模板第4列数据写入类型31数量0.00
2016-10-27 17:04:07.1530 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表模板第4列数据写入类型32数量0.00
2016-10-27 17:04:07.1670 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表模板第4列数据写入类型33数量0.00
2016-10-27 17:04:07.1670 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表模板第4列数据写入类型34数量0.00
2016-10-27 17:04:07.1840 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表模板第4列数据写入类型35数量0.00
2016-10-27 17:04:07.1840 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表模板第4列数据写入类型36数量0.00
2016-10-27 17:04:07.1990 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表模板第4列数据写入类型37数量0.00
2016-10-27 17:04:07.1990 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表模板第4列数据写入类型38数量0.00
2016-10-27 17:04:07.2150 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表模板第4列数据写入类型39数量0.00
2016-10-27 17:04:07.2290 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表模板第4列数据写入类型40数量0.00
2016-10-27 17:04:07.2290 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表模板第4列数据写入类型41数量0.00
2016-10-27 17:04:07.2490 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表模板第4列数据写入类型42数量0.00
2016-10-27 17:04:07.2630 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表模板第4列数据写入类型43数量0.00
2016-10-27 17:04:07.2630 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表模板第4列数据写入类型44数量0.00
2016-10-27 17:04:07.2810 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表模板第4列数据写入类型45数量0.00
2016-10-27 17:04:07.2980 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表模板第4列数据写入类型46数量0.00
2016-10-27 17:04:07.2980 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表模板第4列数据写入类型47数量0.00
2016-10-27 17:04:07.3100 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表模板第4列数据写入类型48数量0.00
2016-10-27 17:04:07.3230 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表模板第4列数据写入类型49数量0.00
2016-10-27 17:04:07.3230 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表模板第4列数据写入类型50数量0.00
2016-10-27 17:04:07.3390 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表模板第4列数据写入类型51数量378.00
